element,sp_num,obs_wl_air(nm),Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
Al,2,"=""201.6053""","=""9.82e+07""","=""7.70e-02""","=""3.58e+00""","=""-0.268""",C+,"=""95549.42""","=""145135.31""","=""3s.3d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""4""",7,9,,
Al,2,"=""201.6193""","=""1.10e+07""","=""6.68e-03""","=""3.10e-01""","=""-1.330""",D,"=""95549.42""","=""145131.93""","=""3s.3d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""3""",7,7,,
Al,2,"=""201.6234""","=""8.73e+07""","=""7.45e-02""","=""2.47e+00""","=""-0.429""",C+,"=""95550.51""","=""145131.93""","=""3s.3d""","=""3D""","=""2""","=""3s.8f""","=""3F*""","=""3""",5,7,,
Al,2,"=""201.6334""","=""1.53e+07""","=""9.35e-03""","=""3.10e-01""","=""-1.330""",D,"=""95550.51""","=""145129.51""","=""3s.3d""","=""3D""","=""2""","=""3s.8f""","=""3F*""","=""2""",5,5,,
Al,2,"=""201.6369""","=""8.25e+07""","=""8.39e-02""","=""1.67e+00""","=""-0.599""",C,"=""95551.44""","=""145129.51""","=""3s.3d""","=""3D""","=""1""","=""3s.8f""","=""3F*""","=""2""",3,5,,
Al,2,"=""202.2081""","=""4.05e+07""","=""1.49e-02""","=""4.97e-01""","=""-1.128""",C+,"=""85481.35""","=""134919.40""","=""3p2""","=""1D""","=""2""","=""3s.6p""","=""1P*""","=""1""",5,3,,
Al,2,"=""207.4009""","=""1.41e+08""","=""1.27e-01""","=""4.35e+00""","=""-0.197""",B,"=""85481.35""","=""133681.78""","=""3p2""","=""1D""","=""2""","=""3s.5f""","=""1F*""","=""3""",5,7,,
Al,2,"=""209.4264""","=""1.84e+08""","=""1.56e-01""","=""7.53e+00""","=""0.038""",C+,"=""95549.42""","=""143283.75""","=""3s.3d""","=""3D""","=""3""","=""3s.7f""","=""3F*""","=""4""",7,9,,
Al,2,"=""209.4744""","=""2.05e+07""","=""1.35e-02""","=""6.52e-01""","=""-1.025""",D,"=""95549.42""","=""143272.86""","=""3s.3d""","=""3D""","=""3""","=""3s.7f""","=""3F*""","=""3""",7,7,,
Al,2,"=""209.4790""","=""1.64e+08""","=""1.51e-01""","=""5.21e+00""","=""-0.122""",C+,"=""95550.51""","=""143272.86""","=""3s.3d""","=""3D""","=""2""","=""3s.7f""","=""3F*""","=""3""",5,7,,
Al,2,"=""209.5100""","=""2.87e+07""","=""1.89e-02""","=""6.52e-01""","=""-1.025""",D,"=""95550.51""","=""143265.83""","=""3s.3d""","=""3D""","=""2""","=""3s.7f""","=""3F*""","=""2""",5,5,,
Al,2,"=""209.5140""","=""1.55e+08""","=""1.70e-01""","=""3.52e+00""","=""-0.292""",C+,"=""95551.44""","=""143265.83""","=""3s.3d""","=""3D""","=""1""","=""3s.7f""","=""3F*""","=""2""",3,5,,
Al,1,"=""211.8312""","=""1.03e+07""","=""1.39e-02""","=""1.93e-01""","=""-1.557""",C,"=""0.000""","=""47192.38""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.10d""","=""2D""","=""3/2""",2,4,,
Al,1,"=""212.3362""","=""1.22e+07""","=""1.24e-02""","=""3.46e-01""","=""-1.305""",C,"=""112.061""","=""47192.38""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.10d""","=""2D""","=""5/2""",4,6,,
Al,1,"=""212.9663""","=""1.52e+07""","=""2.07e-02""","=""2.90e-01""","=""-1.383""",C,"=""0.000""","=""46940.97""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.9d""","=""2D""","=""3/2""",2,4,,
Al,1,"=""213.4733""","=""1.81e+07""","=""1.86e-02""","=""5.22e-01""","=""-1.129""",C,"=""112.061""","=""46941.55""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.9d""","=""2D""","=""5/2""",4,6,,
Al,1,"=""214.5555""","=""2.06e+07""","=""2.85e-02""","=""4.03e-01""","=""-1.244""",C,"=""0.000""","=""46593.32""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.8d""","=""2D""","=""3/2""",2,4,,
Al,1,"=""215.0699""","=""2.46e+07""","=""2.56e-02""","=""7.25e-01""","=""-0.990""",C,"=""112.061""","=""46593.95""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.8d""","=""2D""","=""5/2""",4,6,,
Al,1,"=""216.8805""","=""2.96e+07""","=""4.18e-02""","=""5.97e-01""","=""-1.078""",C,"=""0.000""","=""46093.424""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.7d""","=""2D""","=""3/2""",2,4,,
Al,1,"=""217.4028""","=""3.53e+07""","=""3.75e-02""","=""1.07e+00""","=""-0.824""",C,"=""112.061""","=""46094.312""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.7d""","=""2D""","=""5/2""",4,6,,
Al,2,"=""219.2604""","=""2.47e+08""","=""2.29e-01""","=""1.16e+01""","=""0.205""",C+,"=""95549.42""","=""141143.05""","=""3s.3d""","=""3D""","=""3""","=""3p.3d""","=""3F*""","=""4""",7,9,,
Al,2,"=""219.4189""","=""2.74e+07""","=""1.98e-02""","=""1.00e+00""","=""-0.858""",C,"=""95549.42""","=""141110.06""","=""3s.3d""","=""3D""","=""3""","=""3p.3d""","=""3F*""","=""3""",7,7,,
Al,2,"=""219.4245""","=""2.19e+08""","=""2.21e-01""","=""7.98e+00""","=""0.043""",C+,"=""95550.51""","=""141110.06""","=""3s.3d""","=""3D""","=""2""","=""3p.3d""","=""3F*""","=""3""",5,7,,
Al,2,"=""219.5456""","=""3.83e+07""","=""2.77e-02""","=""1.00e+00""","=""-0.859""",C,"=""95550.51""","=""141084.89""","=""3s.3d""","=""3D""","=""2""","=""3p.3d""","=""3F*""","=""2""",5,5,,
Al,2,"=""219.5502""","=""2.07e+08""","=""2.49e-01""","=""5.40e+00""","=""-0.127""",C+,"=""95551.44""","=""141084.89""","=""3s.3d""","=""3D""","=""1""","=""3p.3d""","=""3F*""","=""2""",3,5,,
Al,1,"=""219.9150""","=""1.75e+06""","=""1.27e-03""","=""1.84e-02""","=""-2.595""",C,"=""0.000""","=""45457.244""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.8s""","=""2S""","=""1/2""",2,2,,
Al,1,"=""220.4590""","=""3.49e+06""","=""1.27e-03""","=""3.69e-02""","=""-2.293""",C,"=""112.061""","=""45457.244""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.8s""","=""2S""","=""1/2""",4,2,,
Al,1,"=""220.4660""","=""4.37e+07""","=""6.37e-02""","=""9.25e-01""","=""-0.895""",C+,"=""0.000""","=""45344.165""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.6d""","=""2D""","=""3/2""",2,4,,
