# Experimental LIBS spectrum: Na I D doublet (D2 588.995 nm, D1 589.592 nm)
# Source: P. B. Hansen, PhD thesis "Laser-Induced Breakdown Spectroscopy
#   Under Martian Conditions" (docs/Literature/hansen_peder-LIBS_martian_conditions.pdf),
#   Figure 4.4.5 (thesis p. 78 / PDF p. 92), bottom-left panel.
# Sample: pressed pellet of mixed carbonates CaCO3+MgCO3+MnCO3+Na2CO3
#   (Na 12.68 at%), in experimentally simulated Martian atmosphere
#   (0.7 kPa, mainly CO2; thesis p. 20).
# Acquisition: delay time 500 ns, integration (gate) time 50 ns, 35 mJ
#   on sample, 10 Hz, 30 accumulated shots; LTB Aryelle Butterfly
#   echelle + Andor iStar ICCD; entrance slit 50x50 um2; intensity-
#   calibrated (signal prop. photons/nm); FWHM_instr = 0.065 nm at
#   656.3 nm (thesis Sec. 4.4.2).
# Plasma parameters measured in the same work at 500 ns delay:
#   n_e = 7e22 m^-3 (H-alpha Stark broadening, thesis Fig. 4.4.4)
#   T = (12822 +/- 292) K (multi-element Saha-Boltzmann, Fig. 4.4.6a)
#   plasma extent ~4 mm total (thesis Sec. 4.4.3).
# Extraction: see examples/digitize_hansen_naD.py (method in its
#   docstring). 569 of 1474 columns had the dashed
#   Voigt-fit overlay contributing to the stroke span (flag column).
#   1474 points, 586.772-592.921 nm, ~4.2 pm/point.
# columns: wavelength_nm,intensity,fit_overlay_contributed
586.77189,-1.109,0
586.77606,-0.554,0
586.78024,0.000,0
586.78441,0.555,0
586.78859,1.664,0
586.79276,2.219,0
586.79694,2.774,0
586.80111,3.883,0
586.80528,3.883,0
586.80946,4.437,0
586.81363,4.437,0
586.81781,4.992,0
586.82198,3.883,0
586.82616,3.883,0
586.83033,3.328,0
586.83451,2.774,0
586.83868,2.774,0
586.84286,2.219,0
586.84703,2.219,0
586.85121,2.219,0
586.85538,1.110,0
586.85955,1.110,0
586.86373,1.664,0
586.86790,1.664,0
586.87208,2.774,0
586.87625,2.774,0
586.88043,3.328,0
586.88460,3.883,0
586.88878,3.883,0
586.89295,3.883,0
586.89713,3.328,0
586.90130,3.328,0
586.90548,3.328,0
586.90965,2.774,0
586.91382,2.219,0
586.91800,2.219,0
586.92217,2.219,0
586.92635,2.219,0
586.93052,2.219,0
586.93470,2.219,0
586.93887,2.219,0
586.94305,2.219,0
586.94722,2.219,0
586.95140,2.219,0
586.95557,2.219,0
586.95975,2.219,0
586.96392,1.664,0
586.96809,1.110,0
586.97227,1.110,0
586.97644,1.110,0
586.98062,1.110,0
586.98479,1.110,0
586.98897,1.110,0
586.99314,1.110,0
586.99732,1.110,0
587.00149,1.110,0
587.00567,1.110,0
587.00984,0.555,0
587.01402,0.000,0
587.01819,0.000,0
587.02236,-0.554,0
587.02654,-1.109,0
587.03071,-1.109,0
587.03489,-1.109,0
587.03906,-1.109,0
587.04324,0.000,0
587.04741,0.000,0
587.05159,0.000,0
